9671454,4,3.7
9601020,4,3.7
9833278,4,3
8494993,4,3
9500738,4,2.7
8567780,30,4
8245081,30,4
10232664,30,3.4
9424389,35,3.7
9183187,58,3.7
9664200,179,4
8494798,179,3
8908874,185,3
5327427,215,2
9704747,267,2
9244950,270,4
9704747,292,2
8494993,296,2.4
9500738,297,2
8542131,363,4
8759374,363,3.4
10103054,363,3.4
9640137,363,3
10680943,365,4
8839506,365,3.7
10136854,365,2
9904531,370,4
9795955,376,4
9640943,376,4
9153469,376,3.7
4532230,378,4
9795955,380,4
10684102,380,3
6861517,394,4
9720074,492,3
8998613,494,3.7
9779796,538,3.7
10134592,539,4
8281442,617,3.7
10208367,617,2.4
10180209,626,4
8199204,629,4
9541831,629,4
9414210,670,3
10461802,717,3.4
10478143,718,3
9547772,718,2.4
8494993,722,4
9500738,722,3
10149100,722,3
7821437,727,4
9860838,727,4
7731555,727,4
7700407,727,3
9601020,727,3
7834749,762,2.4
7392073,763,2.4
5022096,885,3.7
10279321,885,3.7
10279321,916,3
10467886,920,3.4
10727847,920,3
10467886,926,4
10179923,926,3
10179923,931,4
10467886,931,4
10727847,931,4
7621757,1006,3.7
10777351,1006,3
7621757,1015,4
10034050,1015,3.4
6670534,1015,3.4
10043631,1043,3
10135203,1062,2.4
8174075,1070,2.4
7979582,1084,2.4
8427796,1087,3.4
10332556,1087,2.7
8804211,1087,2.4
9034493,1098,3.4
6695247,1155,2.4
8166171,1160,2.4
9461738,1161,4
9599512,1165,2.4
8167432,1171,2.4
6303037,1184,3
9234069,1217,2
8307559,1243,3.7
7858734,1243,3.7
10542285,1246,3.7
9594611,1246,3.7
10443381,1246,3.4
9912435,1246,3
10332556,1246,2.4
8427796,1247,2.7
7165184,1249,3
8952216,1252,3.7
8818264,1261,2.7
4321825,1261,2
9766484,1285,4
7265076,1285,4
7903688,1285,4
9795344,1289,3.7
10612602,1290,2.4
6408311,1304,3.7
10402288,1327,4
8203442,1329,3.7
9500738,1329,3
8203442,1330,4
8368399,1330,4
8379020,1330,2.7
8367268,1352,4
10770591,1363,4
10578555,1374,2
10644816,1374,2
5940896,1377,2.4
7905040,1388,3.4
9083555,1396,4
7808619,1407,3.7
8494993,1413,3
5681520,1501,3
7597733,1502,3.4
10431382,1535,3.4
10420995,1535,3
10448802,1535,2.7
10550085,1535,2.4
8689564,1535,2.4
10545743,1552,4
10349989,1552,4
10191961,1552,3.4
9860838,1552,3.4
10614942,1552,3
8268364,1552,2.4
8494993,1552,2.4
9500738,1552,2.4
7935200,1570,2.7
9763533,1577,4
9836515,1577,4
8191118,1594,2.7
8179678,1598,2.7
9500738,1628,4
9500738,1722,4
8867170,1722,3.4
9707074,1722,2
9797138,1727,4
5464784,1735,3.7
4646422,1743,3.7
10721087,1747,4
10129652,1747,4
10704759,1766,4
10652733,1766,4
10034141,1766,3.7
10032555,1770,4
9386351,1776,4
9411428,1776,3.7
10038236,1776,3.7
8494993,1797,3
8494993,1803,3.7
10009740,1803,3.7
10019282,1803,3.4
10018892,1831,4
9745164,1838,4
8088600,1838,3.4
10631907,1838,3.4
10139311,1838,2.4
10774504,1840,3.4
8751223,1847,4
7189871,1847,4
9593493,1852,3.7
9041604,1853,4
7152548,1853,2.4
9041604,1857,3
9467744,1941,3.4
8847293,1942,4
8675537,1953,3.7
9140755,1953,3
5999825,1959,3
10647364,1974,3.7
9553804,1974,3.4
10194808,1974,3
8186334,1975,4
8558199,1987,4
8122283,1987,3
9748830,3143,4
9025614,3250,3
7811544,3279,2.7
10444460,3293,3.4
10444460,3293,3.4
10444460,3298,2.4
9034363,3306,3
8826454,3312,3.7
9538945,3339,4
10592881,3339,4
9766484,3339,3.7
9923511,3339,3.7
8826389,3339,3.4
9762376,3340,2
9290593,3366,4
8938033,3377,4
10080317,3419,3.7
7635862,3516,4
9339343,3523,4
9397882,3527,4
4564938,3527,4
4564938,3537,4
9636094,3537,4
10467457,3597,4
7063173,4116,3.4
7063173,4116,3.4
10072946,4182,4
10069839,4198,4
10251748,4858,4
10184200,4863,3.7
9574552,4865,3.4
9489532,4888,2.7
9489532,4892,3.7
10075728,4919,3
10747698,4919,2
10736323,4922,3.4
10690524,4955,3
10018957,4956,4
10057125,4956,3
10733944,4960,3.7
