1,4,3.7
2,4,3.7
3,4,3
4,4,3
5,4,2.7
1,30,4
2,30,4
3,30,3.4
4,35,3.7
5,58,3.7
2,179,4
3,179,3
4,185,3
5,215,2
6,267,2
2,270,4
3,292,2
4,296,2.4
5,297,2
6,363,4
3,363,3.4
4,363,3.4
5,363,3
6,365,4
7,365,3.7
3,365,2
4,370,4
5,376,4
6,376,4
7,376,3.7
4,378,4
5,380,4
6,380,3
7,394,4
8,492,3
4,494,3.7
5,538,3.7
6,539,4
7,617,3.7
8,617,2.4
5,626,4
6,629,4
7,629,4
8,670,3
9,717,3.4
5,718,3
6,718,2.4
7,722,4
8,722,3
9,722,3
6,727,4
7,727,4
8,727,4
9,727,3
10,727,3
6,762,2.4
7,763,2.4
8,885,3.7
9,885,3.7
10,916,3
7,920,3.4
8,920,3
9,926,4
10,926,3
11,931,4
7,931,4
8,931,4
9,1006,3.7
10,1006,3
11,1015,4
8,1015,3.4
9,1015,3.4
10,1043,3
11,1062,2.4
12,1070,2.4
8,1084,2.4
9,1087,3.4
10,1087,2.7
11,1087,2.4
12,1098,3.4
9,1155,2.4
10,1160,2.4
11,1161,4
12,1165,2.4
13,1171,2.4
9,1184,3
10,1217,2
11,1243,3.7
12,1243,3.7
13,1246,3.7
10,1246,3.7
11,1246,3.4
12,1246,3
13,1246,2.4
14,1247,2.7
10,1249,3
11,1252,3.7
12,1261,2.7
13,1261,2
14,1285,4
11,1285,4
12,1285,4
13,1289,3.7
14,1290,2.4
15,1304,3.7
11,1327,4
12,1329,3.7
13,1329,3
14,1330,4
15,1330,4
12,1330,2.7
13,1352,4
14,1363,4
15,1374,2
16,1374,2
12,1377,2.4
13,1388,3.4
14,1396,4
15,1407,3.7
16,1413,3
13,1501,3
14,1502,3.4
15,1535,3.4
16,1535,3
17,1535,2.7
13,1535,2.4
14,1535,2.4
15,1552,4
16,1552,4
17,1552,3.4
14,1552,3.4
15,1552,3
16,1552,2.4
17,1552,2.4
18,1552,2.4
14,1570,2.7
15,1577,4
16,1577,4
17,1594,2.7
18,1598,2.7
15,1628,4
16,1722,4
17,1722,3.4
18,1722,2
19,1727,4
15,1735,3.7
16,1743,3.7
17,1747,4
18,1747,4
19,1766,4
16,1766,4
17,1766,3.7
18,1770,4
19,1776,4
20,1776,3.7
16,1776,3.7
17,1797,3
18,1803,3.7
19,1803,3.7
20,1803,3.4
17,1831,4
18,1838,4
19,1838,3.4
20,1838,3.4
21,1838,2.4
17,1840,3.4
18,1847,4
19,1847,4
20,1852,3.7
21,1853,4
18,1853,2.4
19,1857,3
20,1941,3.4
21,1942,4
22,1953,3.7
18,1953,3
19,1959,3
20,1974,3.7
21,1974,3.4
22,1974,3
19,1975,4
20,1987,4
21,1987,3
22,3143,4
23,3250,3
19,3279,2.7
20,3293,3.4
21,3293,3.4
22,3298,2.4
23,3306,3
20,3312,3.7
21,3339,4
22,3339,4
23,3339,3.7
24,3339,3.7
20,3339,3.4
21,3340,2
22,3366,4
23,3377,4
24,3419,3.7
21,3516,4
22,3523,4
23,3527,4
24,3527,4
25,3537,4
21,3537,4
22,3597,4
23,4116,3.4
24,4116,3.4
25,4182,4
22,4198,4
23,4858,4
24,4863,3.7
25,4865,3.4
26,4888,2.7
22,4892,3.7
23,4919,3
24,4919,2
25,4922,3.4
26,4955,3
23,4956,4
24,4956,3
25,4960,3.7
26,4991,4
27,4991,3.7
23,4991,3.7
24,4992,3.4
25,4992,2.7
26,4992,2.7
27,4992,2
24,5007,4
25,5019,3.7
26,5057,4
27,5057,3.7
28,5152,4
24,5156,4
25,5215,4
26,5215,3.7
27,5215,3
28,5262,3.7
25,5264,3.7
26,5268,3.7
27,5270,4
28,5323,3
29,5339,3.4
25,5390,4
26,5390,4
27,5489,3
28,5491,4
29,5492,2
26,5553,3.4
27,5568,3.7
28,5572,3.7
29,5572,3.4
30,5673,4
26,5736,2.4
27,5736,2.4
28,5736,2
29,5737,3.4
30,5737,2.7
27,5738,2.7
28,5746,4
29,5751,3.7
30,5906,3.7
31,5906,3
27,5906,3
28,5906,3
